Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2476,job_6ccabef945030cd5,Mr. Cooper,"Bengaluru, Karnataka",12 days ago,Business Analyst,India,,,,Bengaluru,,,,,,Reporting Analyst II,['R']
2477,job_9159ce9b1445b44d,Deloitte,"Hyderabad, Telangana",7 days ago,Business Analyst,India,,,,Hyderabad,,,3.0,,,KS Global Brand PMO  Analyst,"['D', 'C', 'R', 'Excel']"
2478,job_f3cfb1dc4f0d26ff,BNP Paribas,"Chennai, Tamil Nadu+1 location",8 days ago,Business Analyst,India,,,,Chennai,,,3.0,,postgraduate,Business Analyst,"['D', 'C', 'R']"
2479,job_35793036816f00a5,BNY Mellon,Tamil Nadu,11 days ago,Business Analyst,India,,,,Tamil Nadu,,Senior Level,6.0,,undergraduate,Lead Business Analyst,"['D', 'client', 'C']"
2480,job_9bc01b696c49d8ed,Accenture,"Chennai, Tamil Nadu+1 location",7 days ago,Business Analyst,India,,,,Chennai,,,6.0,,,Wealth Management Advisory Solutions Business Analyst,"['D', 'C', 'R', 'Go']"
2481,job_02efd2a4aff18d21,Servion Global Solutions,"Chennai, Tamil Nadu",12 days ago,Business Analyst,India,,,,Chennai,,,,,,Business Analyst,['R']
2482,job_64da1743459b0c70,Ramco Systems,"Chennai, Tamil Nadu",13 days ago,Business Analyst,India,,,,Chennai,,,,,,Business Analyst,['R']
2483,job_7be8a66b447bbe1b,Moody's Investors Service,"Gurgaon, Haryana",13 days ago,Business Analyst,India,,,,Gurgaon,,,,,postgraduate,Associate Business Analyst,"['Documentation', 'D', 'C', 'PowerPoint', 'Vi', 'asp', 'R', 'Presentation', 'BA', 'Excel']"
2484,job_7f0ac145dc8b2d7c,Lloyd's Register Group,"Mumbai, Maharashtra",12 days ago,Business Analyst,India,,,,Mumbai,,,,,undergraduate,Business Analyst,"['D', 'C', 'client', 'R', 'Excel']"
2485,job_41bfab5ed0c3ad19,Citrix,"Temporarily Remote in Bengaluru, Karnataka",8 days ago,Business Analyst,India,,,,Temporarily Remote in Bengaluru,,,3.0,,undergraduate,Business Analyst,"['SQL', 'D', 'C', 'R', 'Tableau', 'Vi', 'Excel']"
2486,job_1f4cc2ee09362f64,Response Informatics,India,7 days ago,Business Analyst,India,,,,India,,,,,,Oracle Retail   Business Analyst,['R']
2487,job_d30aa28c2282c666,Société Générale,"Bengaluru, Karnataka",11 days ago,Business Analyst,India,,,,Bengaluru,,,,,,Business Analyst   Functional,"['C', 'R']"
2488,job_d43b82dd9f03df11,Deloitte,"Bengaluru, Karnataka",13 days ago,Business Analyst,India,,,,Bengaluru,,Senior Level,6.0,,postgraduate,Senior Analyst   Talent Business Analyst   US Support,"['D', 'R', 'BA', 'Go']"
